,name,distance,latitude,longitude,api,query
342,416 Snack Bar,991,43.639179,-79.39959499999999,foursquare,bar
343,WVRST,567,43.639179,-79.39959499999999,foursquare,bar
344,BarChef,985,43.639179,-79.39959499999999,foursquare,bar
345,Bang Sue Bar,912,43.639179,-79.39959499999999,foursquare,bar
346,Belgian Moon Brewery,334,43.639179,-79.39959499999999,foursquare,bar
347,Thompson Rooftop Lounge,477,43.639179,-79.39959499999999,foursquare,bar
348,Belfast Love,641,43.639179,-79.39959499999999,foursquare,bar
349,SPiN Toronto,662,43.639179,-79.39959499999999,foursquare,bar
350,Her Father's Cider Bar + Kitchen,280,43.661666700000005,-79.40138888888889,foursquare,bar
351,The Embassy Bar,818,43.661666700000005,-79.40138888888889,foursquare,bar
352,Sneaky Dee's,761,43.661666700000005,-79.40138888888889,foursquare,bar
353,Cold Tea,830,43.661666700000005,-79.40138888888889,foursquare,bar
354,Harbord House,335,43.661666700000005,-79.40138888888889,foursquare,bar
355,Trinity Common,574,43.661666700000005,-79.40138888888889,foursquare,bar
356,Cloak & Dagger Irish Pub,628,43.661666700000005,-79.40138888888889,foursquare,bar
357,Crafty Coyote,727,43.661666700000005,-79.40138888888889,foursquare,bar
358,Bar Raval,950,43.661666700000005,-79.40138888888889,foursquare,bar
359,Grey Gardens,909,43.661666700000005,-79.40138888888889,foursquare,bar
360,Famous Last Words Bar,831,43.66666667,-79.45833333333334,foursquare,bar
361,Indie Alehouse,574,43.66666667,-79.45833333333334,foursquare,bar
362,Boo Radleys Junction Bar N Gri,659,43.66666667,-79.45833333333334,foursquare,bar
363,The Hole in the Wall,566,43.66666667,-79.45833333333334,foursquare,bar
364,3030 Dundas West,975,43.66666667,-79.45833333333334,foursquare,bar
365,Honest Weight,279,43.66666667,-79.45833333333334,foursquare,bar
366,Mattachioni,334,43.66666667,-79.45833333333334,foursquare,bar
367,TuckShop Kitchen,282,43.66666667,-79.45833333333334,foursquare,bar
368,Baguette & Co,297,43.66666667,-79.45833333333334,foursquare,bar
369,Nodo,605,43.66666667,-79.45833333333334,foursquare,bar
370,Bandit Brewery,561,43.657191999999995,-79.452559,foursquare,bar
371,The Mugshot Tavern,636,43.657191999999995,-79.452559,foursquare,bar
372,Cabin Fever Collective,381,43.657191999999995,-79.452559,foursquare,bar
373,The Gaslight,362,43.657191999999995,-79.452559,foursquare,bar
374,Whelan's Gate Irish Pub,379,43.657191999999995,-79.452559,foursquare,bar
375,Henderson Brewing Co,675,43.657191999999995,-79.452559,foursquare,bar
376,Lithuanian Hall,189,43.657191999999995,-79.452559,foursquare,bar
377,Jenny Bar & Restaurant,35,43.657191999999995,-79.452559,foursquare,bar
378,Loons Pub,618,43.657191999999995,-79.452559,foursquare,bar
379,Seoul Shakers,870,43.657191999999995,-79.452559,foursquare,bar
380,Her Father's Cider Bar + Kitchen,552,43.6576,-79.4032,foursquare,bar
381,The Embassy Bar,381,43.6576,-79.4032,foursquare,bar
382,The Dog and Tiger Kitchen and Bar,701,43.6576,-79.4032,foursquare,bar
383,Sneaky Dee's,364,43.6576,-79.4032,foursquare,bar
384,Hard Luck Bar,701,43.6576,-79.4032,foursquare,bar
385,Cold Tea,415,43.6576,-79.4032,foursquare,bar
386,Trinity Common,117,43.6576,-79.4032,foursquare,bar
387,Cloak & Dagger Irish Pub,211,43.6576,-79.4032,foursquare,bar
388,Bar Raval,587,43.6576,-79.4032,foursquare,bar
389,Grey Gardens,479,43.6576,-79.4032,foursquare,bar
390,Bar+ Karaoke Lounge,347,43.660694,-79.379052,foursquare,bar
391,T Bar,388,43.660694,-79.379052,foursquare,bar
392,The Queen and Beaver Public House,507,43.660694,-79.379052,foursquare,bar
393,Hair of the Dog,242,43.660694,-79.379052,foursquare,bar
394,Woody's,423,43.660694,-79.379052,foursquare,bar
395,Stout Irish Pub,880,43.660694,-79.379052,foursquare,bar
396,Churchmouse & Firkin,450,43.660694,-79.379052,foursquare,bar
397,Black Eagle,386,43.660694,-79.379052,foursquare,bar
398,House on Parliament,958,43.660694,-79.379052,foursquare,bar
399,Kintaro Izakaya,396,43.660694,-79.379052,foursquare,bar
400,Steam Whistle Brewing,912,43.636533,-79.395854,foursquare,bar
401,The Cloak Bar,791,43.636533,-79.395854,foursquare,bar
402,Amsterdam BrewHouse,906,43.636533,-79.395854,foursquare,bar
